DBSKEY,PROPNUM,UNIT_NO,PROD_DATE,PROD_MONTH,GAS,OIL,WATER,UPDAT_DATE
CLASSIC00,OGRE0041924,8449,3/31/2019,279,0,55,18,4/30/2019
CLASSIC00,OGRE0062299,1736,3/31/2019,431,1155,3,11,6/18/2019
CLASSIC00,OGRE0059333,543,3/31/2019,447,4201,160,84,5/8/2019
CLASSIC00,OGRE0035956,2670,3/31/2019,445,1067,0,68,5/8/2019
CLASSIC00,OGRE0059316,2475,3/31/2019,747,1204,21,39,6/18/2019
CLASSIC00,OGRE0017372,2533,3/31/2019,759,26,0,1,5/8/2019
CLASSIC00,OGRE0050580,2453,3/31/2019,716,514,21,18,5/8/2019
CLASSIC00,OGRE0050581,2456,3/31/2019,612,890,22,47,5/8/2019
CLASSIC00,OGRE0062253,2662,3/31/2019,541,590,0,11,5/8/2019
CLASSIC00,OGRE0030005,5566,3/31/2019,470,1167,0,10,5/8/2019
CLASSIC00,OGRE0030006,5567,3/31/2019,304,732,0,5,5/8/2019
CLASSIC00,OGRE0044754,5668,3/31/2019,297,255,0,9,5/8/2019
CLASSIC00,OGRE0035961,5677,3/31/2019,276,370,0,0,5/8/2019
CLASSIC00,OGRE0030008,5568,3/31/2019,274,570,0,5,5/8/2019
CLASSIC00,OGRE0059324,2169,3/31/2019,259,0,1,0,5/8/2019
CLASSIC00,OGRE0041933,9608,3/31/2019,253,257,6,13,5/8/2019
CLASSIC00,OGRE0035975,347,3/31/2019,170,259,0,0,4/30/2019
CLASSIC00,OGRE0047685,270,3/31/2019,142,451,0,0,4/30/2019
CLASSIC00,OGRE0035974,344,3/31/2019,142,451,0,0,4/30/2019
CLASSIC00,OGRE0047686,238,3/31/2019,143,37,43,0,4/30/2019
CLASSIC00,OGRE0035973,221,3/31/2019,143,14,0,0,4/30/2019
CLASSIC00,OGRE0035972,240,3/31/2019,141,3082,180,0,4/30/2019
CLASSIC00,OGRE0032956,2567,3/31/2019,301,4141,18,135,5/8/2019
CLASSIC00,OGRE0044767,2190,3/31/2019,271,2805,0,39,5/8/2019
CLASSIC00,OGRE0011875,575,3/31/2019,671,1358,0,5,5/8/2019
CLASSIC00,OGRE0035957,622,3/31/2019,556,1070,0,23,5/8/2019
CLASSIC00,OGRE0030042,576,3/31/2019,511,639,0,87,5/8/2019
CLASSIC00,OGRE0041930,9602,3/31/2019,423,783,21,12,5/8/2019
CLASSIC00,OGRE0041931,9604,3/31/2019,382,898,23,15,5/8/2019
CLASSIC00,OGRE0041932,9606,3/31/2019,373,351,9,20,5/8/2019
CLASSIC00,OGRE0044768,2155,3/31/2019,342,33,0,0,5/8/2019
CLASSIC00,OGRE0053433,613,3/31/2019,320,4,0,0,5/8/2019
CLASSIC00,OGRE0053434,614,3/31/2019,314,473,0,10,5/8/2019
CLASSIC00,OGRE0053435,615,3/31/2019,314,168,0,21,5/8/2019
CLASSIC00,OGRE0032997,1864,3/31/2019,281,1311,24,8,5/8/2019
CLASSIC00,OGRE0032994,855,3/31/2019,260,1262,12,104,5/8/2019
CLASSIC00,OGRE0030050,2558,3/31/2019,242,7667,10,323,5/8/2019
CLASSIC00,OGRE0039044,597,3/31/2019,231,3460,0,31,5/8/2019
CLASSIC00,OGRE0050577,608,3/31/2019,221,3017,0,20,5/8/2019
CLASSIC00,OGRE0050578,605,3/31/2019,222,6582,0,147,5/8/2019
CLASSIC00,OGRE0032986,9253,3/31/2019,210,17131,143,308,5/8/2019
CLASSIC00,OGRE0030041,582,3/31/2019,211,2202,0,28,5/8/2019
CLASSIC00,OGRE0030043,574,3/31/2019,205,1361,0,16,5/8/2019
CLASSIC00,OGRE0053419,5621,3/31/2019,204,163,4,0,5/8/2019
CLASSIC00,OGRE0011859,1574,3/31/2019,416,24,0,0,5/8/2019
CLASSIC00,OGRE0027494,1575,3/31/2019,399,275,9,2,5/8/2019
CLASSIC00,OGRE0065051,1591,3/31/2019,412,331,15,0,5/8/2019
CLASSIC00,OGRE0056255,413,3/31/2019,168,58,0,5,5/8/2019
CLASSIC00,OGRE0032970,1869,3/31/2019,170,1308,0,423,5/8/2019
CLASSIC00,OGRE0059326,1891,3/31/2019,165,2187,0,6515,5/8/2019
CLASSIC00,OGRE0032982,1733,3/31/2019,154,34,0,0,5/8/2019
CLASSIC00,OGRE0056256,417,3/31/2019,160,3764,97,120,5/8/2019
CLASSIC00,OGRE0056268,2066,3/31/2019,159,1823,0,58,5/8/2019
CLASSIC00,OGRE0056257,419,3/31/2019,157,1713,2,439,5/8/2019
CLASSIC00,OGRE0027490,1876,3/31/2019,149,3740,0,266,5/8/2019
CLASSIC00,OGRE0041926,621,3/31/2019,155,765,0,352,5/8/2019
CLASSIC00,OGRE0032951,2572,3/31/2019,159,769,9,206,5/8/2019
CLASSIC00,OGRE0032954,2576,3/31/2019,151,276,0,65,5/8/2019
CLASSIC00,OGRE0032952,2573,3/31/2019,157,515,1,42,5/8/2019
CLASSIC00,OGRE0056258,455,3/31/2019,149,249,0,32,5/8/2019
CLASSIC00,OGRE0032984,1867,3/31/2019,161,443,6,20,5/8/2019
CLASSIC00,OGRE0032955,2578,3/31/2019,145,268,1,41,5/8/2019
CLASSIC00,OGRE0032953,2574,3/31/2019,156,5175,1,274,5/8/2019
CLASSIC00,OGRE0056269,2067,3/31/2019,143,1980,0,121,5/8/2019
